iteration,max return,median return,avg return,min return,std return,avg memory reward,avg rollout length,num total samples,Q1 loss,Q2 loss,policy loss,avg grad norm policy,avg expl strat std,ent_coeff
50,194.4863,163.6302,154.1276,50.6555,34.7119,0.3783,267.42,491199,1.7620024681091309,1.7685552835464478,-16.09624671936035,1.4380217790603638,1.1457237005233765,2.9724018385524076e-12
51,299.9407,61.5509,129.2572,39.011,99.2258,0.3802,181.91,500219,1.8069343566894531,1.8106499910354614,-16.219114303588867,1.4377447366714478,1.1464473009109497,1.8084976875429315e-12
52,219.534,171.0598,162.1167,74.0835,34.5309,0.3816,246.27,509248,1.9034762382507324,1.9073861837387085,-16.359102249145508,1.436535120010376,1.1470857858657837,1.0981401335138918e-12
53,299.8614,253.5355,252.7903,205.3803,24.0286,0.3829,300.0,518347,1.8976844549179077,1.9010405540466309,-16.489168167114258,1.4439191818237305,1.1463432312011719,6.681933652219474e-13
54,187.6443,129.2386,124.7651,60.8567,37.5599,0.3844,192.47,527422,1.8993679285049438,1.9016456604003906,-16.618268966674805,1.449593424797058,1.1447176933288574,4.064037517972907e-13
55,167.2384,109.4506,108.6187,67.4666,19.5279,0.3862,171.13,536728,1.9509496688842773,1.9538036584854126,-16.757627487182617,1.4496604204177856,1.1460555791854858,2.4717050238140525e-13
56,299.8498,264.4015,259.792,212.1227,20.4554,0.3882,300.0,545939,1.992916226387024,1.9974745512008667,-16.912778854370117,1.454603910446167,1.1446855068206787,1.5037641542137853e-13
57,299.8987,251.0938,249.3808,203.2674,22.1276,0.3899,300.0,555009,1.9803261756896973,1.9826703071594238,-17.06820297241211,1.4591392278671265,1.1448506116867065,9.138169550487046e-14
58,299.8246,263.5613,248.6687,90.1502,52.7821,0.3915,285.16,564266,2.0411996841430664,2.048363447189331,-17.254718780517578,1.456531286239624,1.1436870098114014,5.57087809585112e-14
59,299.861,262.9876,258.1751,217.3448,21.4616,0.3933,300.0,573278,2.1241347789764404,2.1269314289093018,-17.459186553955078,1.4607386589050293,1.1430686712265015,3.385023516913957e-14
60,299.9163,265.0492,261.1033,201.6728,24.5954,0.3947,300.0,582390,2.1914477348327637,2.1962084770202637,-17.64779281616211,1.4719321727752686,1.1406161785125732,2.0610500339832832e-14
61,299.8115,263.6572,258.7441,200.8507,24.4084,0.3965,300.0,591773,2.1837143898010254,2.185473918914795,-17.84685707092285,1.4687182903289795,1.1392242908477783,1.2564414095185723e-14
62,299.945,264.8212,261.6046,216.4639,23.8672,0.3982,300.0,600878,2.303457260131836,2.3051135540008545,-18.058135986328125,1.4726535081863403,1.1396090984344482,7.662971548538094e-15
63,299.8928,275.7499,268.1618,220.9704,21.0799,0.4006,300.0,609941,2.3419368267059326,2.342617988586426,-18.350177764892578,1.4792108535766602,1.1352598667144775,4.68083323905172e-15
64,299.9603,263.712,266.1013,222.7885,20.9298,0.4032,300.0,619281,2.385437250137329,2.386870861053467,-18.65865707397461,1.481354832649231,1.136457085609436,2.8635742374197434e-15
65,299.9187,263.9914,265.5647,222.9686,21.7557,0.4056,300.0,628535,2.5297367572784424,2.5296742916107178,-18.947383880615234,1.4823342561721802,1.1360067129135132,1.7521313794714223e-15
66,299.7983,195.6202,212.5623,150.1884,46.5593,0.4083,300.0,637547,2.6225507259368896,2.6239054203033447,-19.303876876831055,1.4859976768493652,1.138712763786316,1.074022742283639e-15
67,299.8558,263.7992,262.7175,214.7273,22.9409,0.4111,300.0,646870,2.6967852115631104,2.698011636734009,-19.710962295532227,1.490617036819458,1.136444330215454,6.607629906147912e-16
68,299.7243,263.8236,263.6455,223.9793,19.9056,0.4147,300.0,655981,2.8542280197143555,2.8456313610076904,-20.195768356323242,1.4919310808181763,1.1342672109603882,4.056983414882679e-16
69,299.5998,264.5279,263.131,78.2541,29.1931,0.4176,298.57,665004,3.0669102668762207,3.0635321140289307,-20.66145896911621,1.4945940971374512,1.1341214179992676,2.5022491462414905e-16
70,299.5295,263.2352,263.2762,216.785,22.4513,0.4218,300.0,674145,3.0622353553771973,3.0547754764556885,-21.2766170501709,1.4963710308074951,1.1338855028152466,1.5447935429117713e-16
71,297.2699,267.4336,259.2056,67.0104,33.6715,0.4263,296.07,683371,3.2937304973602295,3.2898995876312256,-22.016969680786133,1.4970154762268066,1.1351782083511353,9.663051785695055e-17
72,280.454,258.4051,243.9845,85.4456,37.9711,0.4324,293.26,692926,3.5917301177978516,3.5822031497955322,-22.830806732177734,1.4993497133255005,1.134458065032959,6.017896451511906e-17
73,285.3726,262.2736,253.0567,190.9054,21.8229,0.4379,300.0,702576,3.7583940029144287,3.7425434589385986,-23.766639709472656,1.4988855123519897,1.1336172819137573,3.753296957001391e-17
74,260.7877,182.057,177.084,48.0747,54.6311,0.4439,238.82,711713,3.9568583965301514,3.9444284439086914,-24.764122009277344,1.4996296167373657,1.1361138820648193,2.380513471800429e-17
75,230.457,84.7,92.6663,44.887,32.3715,0.4502,148.94,721167,4.440764904022217,4.426346778869629,-25.83258056640625,1.4993857145309448,1.1328847408294678,1.5045070346663562e-17
76,252.3349,85.8736,97.7958,3.8663,42.7948,0.4543,151.73,730197,4.621501922607422,4.612171649932861,-26.831937789916992,1.4997358322143555,1.1316038370132446,9.428694312802041e-18
77,253.6401,175.1975,175.9522,72.2267,52.0879,0.461,240.73,740102,4.843538284301758,4.832258224487305,-27.935680389404297,1.4997107982635498,1.1324492692947388,5.927804571404061e-18
78,222.9135,89.3134,97.5184,2.621,48.4873,0.467,155.0,749697,5.184780120849609,5.169640064239502,-28.977781295776367,1.4998211860656738,1.132390022277832,3.728834662028299e-18
79,242.1698,108.6334,124.8192,57.4578,48.7205,0.4724,189.0,758794,5.3980793952941895,5.395317077636719,-29.92176628112793,1.4999998807907104,1.1308051347732544,2.3289096438501858e-18
80,263.8669,215.4788,205.2065,77.1114,44.6687,0.4778,267.92,768694,5.515934467315674,5.49886417388916,-30.800899505615234,1.499841570854187,1.1315839290618896,1.4535800886113652e-18
81,177.4851,74.711,84.0739,46.6087,29.7178,0.4834,141.92,778027,5.6717023849487305,5.6631903648376465,-31.639795303344727,1.4999998807907104,1.1305395364761353,8.991703480586708e-19
82,211.6651,101.2395,103.2309,61.3284,26.8184,0.4903,163.18,789952,5.856086730957031,5.834666728973389,-32.47597885131836,1.4999998807907104,1.1320924758911133,5.601442735467948e-19
83,253.1512,183.5843,180.253,63.9135,45.1445,0.4961,248.21,800606,5.8685503005981445,5.854952335357666,-33.13941192626953,1.4999550580978394,1.1296077966690063,3.4330916402488726e-19
84,250.6238,134.7237,153.3563,75.3953,50.8262,0.5008,218.85,809718,5.886261463165283,5.859576225280762,-33.67559814453125,1.4999630451202393,1.1287912130355835,2.1037928795835797e-19
85,205.1217,93.2047,99.7336,45.6941,37.2546,0.5069,159.37,820876,6.018614292144775,6.000607490539551,-34.253273010253906,1.499856948852539,1.1314741373062134,1.2821824237273017e-19
86,246.9325,135.7193,141.0644,80.9489,44.4023,0.5116,201.61,830994,6.081272125244141,6.06814432144165,-34.650054931640625,1.4999998807907104,1.1313029527664185,7.944687212538525e-20
87,215.4034,90.1877,88.079,31.3977,41.3415,0.5167,140.66,840948,6.196767807006836,6.16832971572876,-34.966087341308594,1.4999998807907104,1.1309919357299805,4.8619579373767174e-20
88,259.2582,147.3672,157.4019,69.5784,61.02,0.5209,218.17,851268,5.958108901977539,5.952399253845215,-35.39314270019531,1.4999998807907104,1.130741000175476,2.9849057973220355e-20
89,223.8727,93.2856,100.5645,2.2253,41.5719,0.5249,156.06,860546,6.119659900665283,6.095213413238525,-35.715171813964844,1.4997656345367432,1.1300615072250366,1.842739008035363e-20
90,227.2052,87.8167,93.3605,57.3162,30.704,0.5298,151.33,871882,6.080663681030273,6.05738639831543,-35.994964599609375,1.4999998807907104,1.1312252283096313,1.1345988944753792e-20
91,229.7209,118.1023,118.9737,53.5442,41.31,0.5347,175.33,883170,6.204709053039551,6.198566913604736,-36.256866455078125,1.4999998807907104,1.1316195726394653,6.982705725383904e-21
92,173.2768,76.3884,80.9801,36.1849,27.8199,0.5395,133.78,893818,6.089380741119385,6.076211929321289,-36.47400665283203,1.499908208847046,1.1296226978302002,4.257319282638571e-21
93,226.3792,81.0236,90.9721,34.8399,37.7453,0.544,143.85,904856,5.926242351531982,5.909214019775391,-36.659488677978516,1.4999459981918335,1.1302350759506226,2.5970025994602043e-21
94,216.1396,111.0087,111.2843,52.9063,29.9325,0.5477,165.24,913895,5.908031940460205,5.90531063079834,-36.86940002441406,1.4999998807907104,1.132171392440796,1.6012429415759747e-21
95,243.385,191.1964,182.8401,66.2856,41.297,0.5512,254.54,923506,6.148174285888672,6.136481761932373,-37.029598236083984,1.4999998807907104,1.1304717063903809,9.713436934264937e-22
96,229.8531,142.9873,151.9402,51.6418,47.3581,0.5543,213.72,932525,5.826868057250977,5.822126388549805,-37.190452575683594,1.4999998807907104,1.1311405897140503,5.921554471435999e-22
97,256.6376,199.3182,188.2954,45.3892,49.4519,0.5574,248.74,941904,5.768057346343994,5.748281955718994,-37.33940887451172,1.4999998807907104,1.127284049987793,3.6125868746289407e-22
98,212.7324,90.6045,97.76,48.4228,28.876,0.5613,157.2,951861,5.700976848602295,5.690950870513916,-37.54889678955078,1.4998105764389038,1.1267898082733154,2.2249626194254143e-22
99,235.7028,131.6276,138.7081,51.7627,50.3607,0.5648,199.53,961702,5.812215805053711,5.811290264129639,-37.763919830322266,1.4998023509979248,1.1289924383163452,1.3567862309143714e-22
100,219.2129,121.3331,118.9506,53.4565,36.2217,0.5689,170.73,973395,6.0968546867370605,6.085798740386963,-37.940093994140625,1.4999030828475952,1.1289160251617432,8.381171908163945e-23
101,129.9643,68.3846,68.9011,32.3219,19.7291,0.5717,120.67,982560,5.725157260894775,5.722497940063477,-37.978477478027344,1.4995981454849243,1.1275317668914795,5.081809134820101e-23
102,242.3501,126.9789,137.5541,64.4457,49.6962,0.5745,199.16,991742,5.9075751304626465,5.904171466827393,-38.068416595458984,1.4999998807907104,1.12979257106781,3.0979391318814184e-23
103,231.6281,95.4246,96.2649,42.9892,30.7428,0.5778,149.77,1000853,5.835492134094238,5.849023818969727,-38.15629959106445,1.4999998807907104,1.1308512687683105,1.9019927096361642e-23
104,249.0071,166.1874,159.306,3.0827,51.1182,0.5837,219.87,1009864,5.686615467071533,5.675949573516846,-38.408851623535156,1.4999998807907104,1.131372094154358,1.1715557896889068e-23
105,217.1289,75.8987,95.1381,36.2513,46.9794,0.5901,153.74,1019272,5.657059669494629,5.651020526885986,-38.71919250488281,1.4999998807907104,1.1312838792800903,7.140843855846595e-24
106,202.2032,141.3155,134.3601,51.7332,27.4398,0.5965,190.12,1028367,5.684732437133789,5.668213844299316,-38.85285949707031,1.4999998807907104,1.1331406831741333,4.312642615414475e-24
107,176.0,82.226,86.592,36.681,27.2349,0.6029,138.38,1038080,5.715977668762207,5.700839996337891,-39.11470413208008,1.4997438192367554,1.1331775188446045,2.638167014947094e-24
108,226.5164,109.6055,109.288,37.8209,50.1453,0.612,174.07,1050294,5.506504058837891,5.477859973907471,-39.43296813964844,1.4999998807907104,1.1357643604278564,1.6030495703107283e-24
109,233.7465,141.2432,147.8889,47.1511,43.0583,0.6182,212.41,1059518,5.5406975746154785,5.5261735916137695,-39.634952545166016,1.4997767210006714,1.1348234415054321,9.883828594207441e-25
110,235.7831,145.399,144.9569,49.4212,46.7959,0.6256,217.55,1070450,5.581023693084717,5.570706367492676,-39.94700622558594,1.4999760389328003,1.1314414739608765,6.005373739127641e-25
111,271.5224,247.4827,237.6548,28.3371,38.1312,0.6316,293.09,1080114,5.680914878845215,5.665308475494385,-40.181365966796875,1.499733805656433,1.1311123371124268,3.665218356827575e-25
112,247.472,140.1304,148.2602,50.824,55.3952,0.6415,209.57,1095879,5.867534160614014,5.845291614532471,-40.547733306884766,1.4999998807907104,1.1348578929901123,2.238982245572241e-25
113,250.8178,199.9585,180.2635,65.5416,47.2802,0.6466,250.45,1104989,5.579200267791748,5.565342903137207,-40.70707702636719,1.4996930360794067,1.1318978071212769,1.3571982095778186e-25
114,242.4788,173.9992,157.8318,45.9705,42.5903,0.6523,213.57,1114834,5.640076637268066,5.640284538269043,-40.89514923095703,1.4999642372131348,1.1307826042175293,8.242538276610929e-26
115,245.4753,136.3465,145.2818,44.1579,51.1549,0.6572,208.31,1123894,5.5506463050842285,5.535627365112305,-41.13270950317383,1.4996620416641235,1.1307382583618164,5.068443025699063e-26
116,204.382,98.1409,103.2773,34.7747,44.0613,0.6631,167.95,1134532,5.608659744262695,5.591859817504883,-41.34785079956055,1.4999998807907104,1.1325095891952515,3.0675004210938773e-26
117,226.6725,111.0457,113.3468,2.9853,52.1468,0.6685,177.39,1144172,5.457360744476318,5.443752765655518,-41.55496597290039,1.4999998807907104,1.1329609155654907,1.8755117177079024e-26
118,247.8187,147.4008,145.9994,64.1472,43.1161,0.6734,206.94,1153813,5.523743152618408,5.515314102172852,-41.722537994384766,1.4999953508377075,1.131794810295105,1.141789878645906e-26
119,239.921,196.4168,178.0483,35.4028,54.8248,0.6775,251.53,1162869,5.454689025878906,5.438809394836426,-41.87146759033203,1.4998360872268677,1.1319177150726318,6.954267250849983e-27
120,248.3941,106.605,127.3949,41.8268,48.1988,0.6821,187.42,1171968,5.309967994689941,5.280395984649658,-42.01216506958008,1.4999651908874512,1.133194923400879,4.2272063015660445e-27
121,245.9703,171.8793,156.5415,26.7162,70.7102,0.6865,217.68,1181160,5.246920108795166,5.245240688323975,-42.16825485229492,1.4998011589050293,1.1343425512313843,2.590602649748281e-27
122,246.277,200.5553,177.73,1.0879,57.8109,0.6929,241.08,1194425,5.342991828918457,5.317975997924805,-42.41313934326172,1.499670386314392,1.132175326347351,1.574940575009334e-27
123,200.0034,89.2656,95.4864,40.0124,39.2723,0.6969,159.81,1203468,5.299559593200684,5.287913799285889,-42.45956039428711,1.4992491006851196,1.1316167116165161,9.653198067366202e-28
124,252.2117,202.4926,187.6112,45.5991,42.7842,0.702,255.78,1213931,5.256708145141602,5.231873035430908,-42.66754150390625,1.499781847000122,1.1321136951446533,5.943511290051368e-28
125,233.0714,99.4994,109.6048,34.777,55.0188,0.7069,176.19,1224383,5.160547256469727,5.1494011878967285,-42.78651809692383,1.499894142150879,1.1321998834609985,3.6699276388016606e-28
126,234.9488,163.1227,151.683,39.8145,60.3461,0.7126,222.26,1235796,5.17153787612915,5.154825210571289,-42.93734359741211,1.4997355937957764,1.1319102048873901,2.222080432676904e-28
127,254.2757,230.5927,218.2635,101.7969,33.8063,0.7173,283.75,1245800,4.943384170532227,4.930965423583984,-43.11841583251953,1.4995031356811523,1.1297470331192017,1.3583978713401774e-28
128,249.3071,135.5028,145.7526,42.7148,56.8454,0.7222,209.04,1256302,4.864470958709717,4.846467971801758,-43.28629684448242,1.4997962713241577,1.1333227157592773,8.341054533276644e-29
129,242.7373,207.9859,184.6423,37.8432,53.5331,0.7272,254.85,1266095,4.87388801574707,4.859014987945557,-43.41740798950195,1.4999998807907104,1.1348932981491089,5.057407172672707e-29
130,252.8616,221.8779,212.6536,55.1909,37.7981,0.7319,283.05,1275821,4.984591007232666,4.9712748527526855,-43.558021545410156,1.4999998807907104,1.1350045204162598,3.117847060957178e-29
131,246.0517,209.9213,198.2728,92.8285,40.7625,0.7362,267.95,1284955,4.724658012390137,4.711084842681885,-43.7016487121582,1.4995465278625488,1.136734127998352,1.911216441465225e-29
132,247.2702,140.3773,147.6671,31.7702,53.2621,0.7415,205.95,1296166,4.895073890686035,4.879342555999756,-43.868247985839844,1.4984115362167358,1.1358176469802856,1.159954503583513e-29
133,244.3374,159.9211,158.5942,37.3756,61.3141,0.7462,225.17,1306000,4.697818756103516,4.675179481506348,-44.02576446533203,1.499842882156372,1.1358647346496582,7.068675975675402e-30
134,205.6938,69.4352,82.1162,28.9128,43.7345,0.751,141.06,1316288,4.678531169891357,4.657604217529297,-44.21586608886719,1.499950647354126,1.1299350261688232,4.297029191464775e-30
135,239.5589,108.3277,134.1201,40.2423,63.3601,0.7555,197.71,1325312,4.6771016120910645,4.65217924118042,-44.34807205200195,1.4993042945861816,1.1326147317886353,2.631756185615315e-30
136,255.3259,220.0523,209.7993,52.1429,40.0894,0.7596,286.95,1334581,4.554908752441406,4.534914970397949,-44.47673416137695,1.4993231296539307,1.1374813318252563,1.60745974864777e-30
137,242.0136,91.5893,103.2239,27.5486,52.3462,0.7644,159.62,1345188,4.404173851013184,4.38300085067749,-44.63016891479492,1.4986529350280762,1.1331682205200195,9.848194810454617e-31
138,250.3607,182.7181,160.5032,33.3795,66.4083,0.7687,225.61,1355067,4.515136241912842,4.495152473449707,-44.78471755981445,1.499245524406433,1.1367579698562622,6.062299432868629e-31
