iteration,max return,median return,avg return,min return,std return,avg rollout len,num total samples,explained var critic,loss improv critic,avg grad norm critic,loss after,KL(old_new),avg expl strat std,expl strat entropy,avg grad norm policy
29,645.6019,408.414,436.8145,132.8351,81.2451,154.9769,601344,0.9168000221252441,128.6833953857422,1.0,-13.119500160217285,0.0020000000949949026,0.511900007724762,-0.5922999978065491,0.9911
30,642.066,413.7296,439.6292,114.488,79.3845,155.5736,621413,0.9322999715805054,133.93080139160156,1.0,-12.421799659729004,0.0020000000949949026,0.5019999742507935,-0.6506999731063843,0.9871
31,648.964,420.7186,456.1345,124.1202,87.8439,159.4762,641507,0.9352999925613403,134.66799926757812,1.0,-12.615599632263184,0.0034000000450760126,0.491100013256073,-0.7192999720573425,0.9948
32,652.8123,453.6047,484.7635,121.2679,104.8295,166.8333,661527,0.9258000254631042,140.64979553222656,1.0,-13.391500473022461,0.0017000000225380063,0.4821000099182129,-0.7746999859809875,0.999
33,679.2228,559.5115,518.8902,130.3058,109.0028,175.7632,681564,0.9272000193595886,160.36720275878906,1.0,-14.40060043334961,0.004100000020116568,0.46630001068115234,-0.8762999773025513,0.9982
34,678.2994,571.5087,521.7717,97.8453,126.8895,176.0614,701635,0.9035000205039978,145.60279846191406,1.0,-13.517000198364258,0.002099999925121665,0.45399999618530273,-0.9552000164985657,0.9988
35,693.4505,567.9044,521.3558,127.5323,124.7946,175.3652,721802,0.9156000018119812,131.58360290527344,1.0,-12.869400024414062,0.002199999988079071,0.44440001249313354,-1.0190999507904053,0.9994
36,713.9246,593.1221,547.2988,133.6261,113.0572,184.4771,741910,0.9383000135421753,148.2613983154297,1.0,-12.979100227355957,0.0031999999191612005,0.4320000112056732,-1.1035000085830688,0.998
37,685.9007,595.3111,553.7459,104.2875,113.3564,187.2523,761946,0.9466000199317932,152.8800048828125,1.0,-12.1673002243042,0.0017000000225380063,0.426800012588501,-1.1404000520706177,0.9995
38,723.1673,618.6922,586.5122,102.7765,106.5774,194.835,782014,0.9401999711990356,151.6383056640625,1.0,-12.954000473022461,0.002400000113993883,0.41990000009536743,-1.190000057220459,0.9995
