iteration,curr policy return,max return,median return,min return,avg return,std return,avg rollout len,num total samples,min mag policy param,max mag policy param,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
55,1207.3732,1391.7167,1100.9425,67.7093,836.4564,426.2816,712.9208,2543710,-0.07663747668266296,-5.692984104156494,0.4690000116825104,0.49149999022483826,0.5041000247001648,-34.10049819946289
56,1306.7715,1341.7898,414.88,51.4928,651.0483,480.1196,539.5743,2598207,0.039850056171417236,-5.739739418029785,0.4690999984741211,0.4912000000476837,0.5056999921798706,-34.12810134887695
57,1231.9635,1306.4098,491.6434,12.7502,640.9308,470.5666,531.8515,2651924,0.07808204740285873,-5.7130961418151855,0.46939998865127563,0.491100013256073,0.5060999989509583,-34.143798828125
58,1248.0471,1328.0048,307.0697,8.1008,566.4602,507.8736,472.3762,2699634,0.017946667969226837,-5.6520562171936035,0.46869999170303345,0.4909000098705292,0.5055000185966492,-34.16630172729492
59,1239.0243,1273.4206,547.7336,11.303,638.4362,484.1077,534.3168,2753600,0.0041213929653167725,-5.444921016693115,0.4684999883174896,0.49070000648498535,0.5048999786376953,-34.18659973144531
60,1231.9687,1303.654,1070.6805,8.2174,747.725,464.3705,631.4059,2817372,0.0002718120813369751,-5.324091911315918,0.4683000147342682,0.49059998989105225,0.505299985408783,-34.19860076904297
61,1236.1907,1337.7525,1096.9487,15.3051,784.8321,474.889,665.9703,2884635,-0.03352687880396843,-5.449764251708984,0.4683000147342682,0.4902999997138977,0.5051000118255615,-34.2234001159668
62,1287.0365,1328.4853,249.6036,31.7658,581.669,519.6734,483.703,2933489,0.0402662456035614,-5.6569905281066895,0.46779999136924744,0.4902999997138977,0.5048999786376953,-34.22600173950195
63,1248.7407,1324.1104,384.8935,36.5769,581.9719,484.515,477.3861,2981705,0.00472964346408844,-5.512621879577637,0.46790000796318054,0.49000000953674316,0.5051000118255615,-34.25740051269531
64,1224.3127,1335.1941,1089.4439,27.4791,757.1174,484.3637,637.3267,3046075,0.005688279867172241,-5.641203880310059,0.4677000045776367,0.49000000953674316,0.5051000118255615,-34.26179885864258
65,1274.4687,1357.3467,579.2842,41.3799,674.314,497.947,562.5941,3102897,0.05499096214771271,-5.579504013061523,0.4674000144004822,0.48980000615119934,0.5077999830245972,-34.28120040893555
66,1240.57,1369.1733,459.1439,12.6178,622.9783,473.413,525.7129,3155994,-0.05813692510128021,-5.714554786682129,0.4672999978065491,0.4894999861717224,0.5078999996185303,-34.306400299072266
67,1193.5446,1268.0655,1123.6404,59.3385,895.7956,425.3733,765.5149,3233311,-0.1280144453048706,-5.852386474609375,0.4666999876499176,0.489300012588501,0.5073999762535095,-34.32849884033203
68,1283.295,1292.5452,299.7758,14.0968,532.2331,465.6706,432.4554,3276989,-0.057594940066337585,-5.901669979095459,0.46639999747276306,0.48919999599456787,0.5072000026702881,-34.34049987792969
